LAB|XAUUSD|5|first=1784498400000|from=1784678400000|last=1789160100000|nD=37|uIn=4
V32|215|73|401.2|-614.5|201.5|236.3|7893.4|0
LAB|XAUUSD|5|first=1706482800000|from=1706659200000|last=1711400100000|nD=38|uIn=0
V01|140|42|212.5|-359.6|116.3|173.6|2828.1|0
V02|188|53|210.5|-424.6|156.5|236.3|3350.3|0
V03|204|80|240.1|-414.9|169.7|188.9|3251.3|0
V04|159|54|210.8|-375.1|132|177.9|2205.5|0
V05|121|32|208.9|-335.6|100.6|143.6|2458.2|0
V06|131|35|179.7|-328.7|108.7|169.7|2504.5|0
V07|154|44|232.2|-383.5|128|166.4|4838.6|0
V08|151|42|221.2|-387.8|125.6|187.4|3225.9|0
V09|96|25|110.1|-249.6|79.8|149.7|2025.5|0
V10|144|45|247|-387.4|119.9|169.4|3482.3|0
V11|179|54|189.8|-382|148.4|211.2|3389.7|0
V12|78|16|46.5|-168.1|64.9|133.2|1111.9|0
V13|143|43|222.5|-367.8|118.8|179.9|3134.6|0
V14|139|43|204.9|-339.9|115.6|160.7|2571.7|0
V15|143|43|225|-364.1|118.8|179.2|3340.6|0
V16|78|19|49|-157.9|64.9|118.7|920.7|0
V17|230|83|329.1|-467.3|191.1|170.8|3048.6|0
V18|181|53|256.5|-409.6|150.4|170|4210.8|0
V19|330|138|297.8|-545.7|274.4|258.2|3774.2|0
V20|99|29|130.6|-228.1|82.5|98.7|2160.9|0
V21|80|20|136|-198.2|66.3|64.5|2210.5|0
V22|85|25|122.8|-183.7|70.8|82.2|1793.4|0
V23|118|40|201.3|-307.6|98.5|148.5|3399.9|0
V24|91|21|161.7|-291.8|76.1|135.3|3245.5|0
V25|129|42|219.5|-336.4|107.6|154.9|3918.3|0
V26|460|205|237.7|-632.6|382.7|395|6464.5|0
V27|191|71|131.2|-325|158.4|194|2240.1|0
V28|723|243|410.8|-1016.4|600.9|606|11820.4|0
V29|526|143|468.5|-859.4|438.2|393.4|7945.1|0
V30|282|45|385.1|-576.7|234.5|212.1|5813.2|0
V31|53|20|38.2|-66.2|44.4|34.7|167.4|0
V32|224|75|208.7|-421.4|186.5|226.4|2591.9|0
